"ID","Handle","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: fixmytoys.bwpid [single_line_text_field]","Metafield: fixmytoys.brand [single_line_text_field]","Metafield: fixmytoys.model [single_line_text_field]","Metafield: fixmytoys.equipmenttype [single_line_text_field]","Metafield: fixmytoys.submodel [single_line_text_field]","Metafield: fixmytoys.year [single_line_text_field]","Metafield: fixmytoys.breadcrumbs [single_line_text_field]","Metafield: fixmytoys.manufacturer [single_line_text_field]"
"171654971473","1985-honda-big-red-250","1985 Honda Big Red 250 | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda Big Red 250 Parts to get You Up and Running again.","1112053,1383438","Honda","Big Red 250","ATV","21AE682W766 21A-250J265","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Big Red 250|collections/1985-honda-big-red-250",""
"171655037009","1985-honda-cr125r","1985 Honda CR125R | Parts and Accessories","IN-STOCK OEM Honda Off-road Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda CR125R Parts to get You Up and Running again.","1113455,1346058","Honda","CR125R","Off-road Motorcycle","CR125R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,CR125R|collections/1985-honda-cr125r",""
"171655430225","1985-honda-interceptor-500","1985 Honda Interceptor 500 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Interceptor 500 Parts to get You Up and Running again.","1113473,1113474,1364962","Honda","Interceptor 500","Street Motorcycle","Interceptor 57060","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Interceptor 500|collections/1985-honda-interceptor-500",""
"171654545489","1985-arctic-cat-pantera","1985 Arctic Cat Pantera | Parts and Accessories","IN-STOCK OEM Arctic Cat Snowmobile  Parts & Accessories. SAME-DAY Ship on 1985 Arctic Cat Pantera Parts to get You Up and Running again.","1001475,1378781","Arctic Cat","Pantera","Snowmobile","Pantera","1985","1985|pages/oem-parts?brand=Arctic%20Cat&year=1985,Arctic Cat|pages/oem-parts?brand=Arctic%20Cat,Pantera|collections/1985-arctic-cat-pantera",""
"171655692369","1985-honda-sabre-700","1985 Honda Sabre 700 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Sabre 700 Parts to get You Up and Running again.","1113479,1113480,1346471","Honda","Sabre 700","Street Motorcycle","Sabre 57228","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Sabre 700|collections/1985-honda-sabre-700",""
"171655168081","1985-honda-elite-150","1985 Honda Elite 150 | Parts and Accessories","IN-STOCK OEM Honda Scooter  Parts & Accessories. SAME-DAY Ship on 1985 Honda Elite 150 Parts to get You Up and Running again.","1112843,1112844,1112845,1112846,1345907,1357563","Honda","Elite 150","Scooter","Elite 150","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Elite 150|collections/1985-honda-elite-150",""
"171655528529","1985-honda-nighthawk-450","1985 Honda Nighthawk 450 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Nighthawk 450 Parts to get You Up and Running again.","1113447,1113448,1348348","Honda","Nighthawk 450","Street Motorcycle","8451,Nighthawk 318-450-002","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Nighthawk 450|collections/1985-honda-nighthawk-450",""
"171655495761","1985-honda-magna-700","1985 Honda Magna 700 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Magna 700 Parts to get You Up and Running again.","1113475,1113476,1350455","Honda","Magna 700","Street Motorcycle","Magna 57228","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Magna 700|collections/1985-honda-magna-700",""
"171655266385","1985-honda-fourtrax-125","1985 Honda FourTrax 125 | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda FourTrax 125 Parts to get You Up and Running again.","1112058,1382054","Honda","FourTrax 125","ATV","FourTrax 125,GX018BD010001-01124,GX018BD011244-025000,GX018BD025001-,PC9535","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,FourTrax 125|collections/1985-honda-fourtrax-125",""
"171655397457","1985-honda-interceptor-1000","1985 Honda Interceptor 1000 | Parts and Accessories","IN-STOCK OEM Honda Street Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda Interceptor 1000 Parts to get You Up and Running again.","1113465,1113466,1373321","Honda","Interceptor 1000","Street Motorcycle","Interceptor 132-520B196","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Interceptor 1000|collections/1985-honda-interceptor-1000",""
